,0,1,2,3,4,5,6,7,8,9,10
114, Malawi,561975.37,166633.33,192557.2,202784.84,0.0,0.0,0.0,0.0,0.0,0.0
115, Malaysia,47543.520000000004,38353.25,306.68,1162.26,6510.57,1129.65,81.11,0.0,0.0,0.0
116, Maldives,197.3,197.06,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
117, Mali,767612.26,112383.36,650686.45,2283.16,0.0,0.0,0.0,1959.4,0.0,299.89
118, Malta,21.09,21.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119, Marshall Islands,105.45,100.43,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0
120, Mauritania,27017.88,20098.05,6016.11,651.13,0.0,0.0,0.0,252.59,0.0,0.0
121, Mauritius,483.08000000000004,419.55,0.0,25.6,0.0,0.0,0.0,37.93,0.0,0.0
122, Mexico,97487.03,78200.25,3.16,19283.62,0.0,0.0,0.0,0.0,0.0,0.0
123, Micronesia (Federated States of),137.04000000000002,136.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68
124, Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125, Mongolia,14523.82,14520.89,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0
126, Montenegro,113.45,113.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127, Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128, Morocco,93257.91,92234.35,0.0,981.92,0.0,0.0,0.0,41.64,0.0,0.0
129, Mozambique,1404668.5500000003,384746.62,399309.01,616648.05,554.8,1155.46,1706.58,387.24,0.0,160.79
130, Myanmar,712145.0599999999,616363.37,73580.08,22112.01,0.0,0.0,0.0,0.0,0.0,89.6
131, Namibia,76605.15,46751.05,2849.59,26927.25,0.0,0.0,0.0,77.26,0.0,0.0
132, Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133, Nepal,356994.66,347762.61,6315.24,641.29,385.65,1578.0,146.72,0.0,0.0,165.15
134, Netherlands,1164.76,1164.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135, New Caledonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136, New Zealand,337.88,332.88,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
137, Nicaragua,6178.71,5625.35,0.69,552.67,0.0,0.0,0.0,0.0,0.0,0.0
138, Niger,727441.24,248506.06,466676.42,11761.63,0.0,0.0,0.0,479.9,0.0,17.23
139, Nigeria,11844381.77,621782.74,11156605.41,43607.76,0.0,0.0,0.0,20801.16,0.0,1584.7
140, Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141, Northern Mariana Islands,53.959999999999994,53.41,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0
142, Norway,495.5,495.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
