"","2010","","","","","","","","","","","2015","","","","","","","","",""
"Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total","Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total"
"Somalia","566,966.65","1,028,946.13","266,964.86","  2,630.35 ","  3,998.80 ","  1,291.29 ","  19,970.75 ","","  -   ","1,890,768.82","Somalia","610,825.34","291,499.79","93,716.70","2,422.17","3,997.66","1,435.71","22,076.38","0.00","0.00","1,025,973.76"
"South Africa","1,648,227.98","21,723.92","12,066,713.66","  2,518.89 ","  12,964.58 ","  9,283.94 ","  46,196.50 ","","  -   ","13,807,629.47","South Africa","2,043,751.83","15,067.96","9,211,716.69","2,555.28","12,977.22","9,234.90","45,477.27","0.00","0.00","11,340,781.16"
"South Sudan","240,703.71","393,571.76","551,492.71","  7,659.26 ","  1,423.15 ","  4.17 ","  16,228.15 ","","  2,485.45 ","1,213,568.35","South Sudan","0.00","545,414.71","494,642.80","7,254.37","1,636.36","5.00","20,937.11","80,684.35","2,727.35","1,153,302.06"
"Spain","41,008.24","12.04","56,770.30","  -   ","  -   ","  -   ","  -   ","","  -   ","97,790.58","Spain","14,362.43","0.00","68,731.77","0.00","0.00","0.00","0.00","0.00","0.00","83,094.20"
"Sri Lanka","117,550.39","2,523.45","9,919.30","  368.87 ","  874.86 ","  142.53 ","  -   ","","  8,991.06 ","140,370.46","Sri Lanka","40,863.48","441.38","2,749.51","289.93","791.46","141.26","0.00","0.00","2,409.41","47,686.43"
"Sudan","581,754.11","3,038,353.82","898,185.43","  1,591.85 ","  3,957.42 ","  12.89 ","  21,760.48 ","","  2,341.81 ","4,547,957.81","Sudan","143,645.45","263,064.30","221,487.43","1,156.28","3,990.22","13.68","18,191.38","0.00","2,691.40","654,240.13"
"Suriname","1,022.00","571.26","16,695.91","  6.31 ","  32.34 ","  0.00 ","  481.89 ","","  -   ","18,809.71","Suriname","548.10","105.17","6,369.65","4.85","24.19","0.00","514.27","0.00","0.00","7,566.24"
"Swaziland","53,649.70","1,017.01","389,032.55","  207.65 ","  925.91 ","  351.71 ","  968.02 ","","  -   ","446,152.55","Swaziland","68,911.71","33.42","360,630.83","213.16","1,277.03","372.17","900.20","0.00","0.00","432,338.53"
"Sweden","1,081.49","0.00","1,946.64","  -   ","  -   ","  -   ","  -   ","","  -   ","3,028.13","Sweden","1,819.35","0.00","1,205.82","0.00","0.00","0.00","0.00","0.00","0.00","3,025.17"
"Switzerland","610.31","0.00","6,779.52","  -   ","  -   ","  -   ","  -   ","","  -   ","7,389.83","Switzerland","1,100.80","0.00","2,685.55","0.00","0.00","0.00","0.00","0.00","0.00","3,786.35"
"Syrian Arab Republic","53,235.79","0.00","4,022.46","  1,054.60 ","  265.93 ","  15.06 ","  2,903.13 ","","  -   ","61,496.97","Syrian Arab Republic","5,073.77","0.00","0.00","938.25","243.90","13.08","2,493.58","0.00","0.00","8,762.56"
"Tajikistan","78,621.07","819.89","29,224.81","  64.05 ","  0.05 ","  0.00 ","  -   ","","  -   ","108,729.88","Tajikistan","46,143.86","320.51","9,271.85","97.80","613.28","0.00","0.00","0.00","0.00","56,447.31"
"Tanzania","1,030,101.83","7,681,939.19","5,097,139.31","  24,581.02 ","  18,925.22 ","  1,290.56 ","  164,061.38 ","","  44,808.03 ","14,062,846.54","Tanzania","856,848.69","1,468,262.93","2,717,962.90","16,714.33","21,309.26","1,519.32","115,714.66","16,194.26","39,246.61","5,253,772.96"
"Thailand","641,817.77","25,168.85","1,226,987.25","  482.33 ","  5,598.78 ","  11.62 ","  -   ","","  69.72 ","1,900,136.31","Thailand","327,664.62","22,543.20","661,970.70","306.81","4,720.86","10.25","0.00","0.00","62.56","1,017,278.99"
"The Former Yugoslav Republic of Macedonia","4,934.37","1.82","2,404.73","  0.23 ","  -   ","  -   ","  -   ","","  -   ","7,341.15","The Former Yugoslav Republic of Macedonia","2,718.57","0.00","0.00","0.25","0.00","0.00","0.00","0.00","0.00","2,718.82"
"Timor-Leste","0.00","0.00","0.00","  183.52 ","  69.22 ","  8.40 ","  -   ","","  3,626.47 ","3,887.62","Timor-Leste","8,924.90","991.52","3,340.21","130.61","71.93","8.78","0.00","0.00","3,778.19","17,246.15"
"Togo","262,470.88","475,520.61","304,080.61","  2,028.70 ","  358.88 ","  0.15 ","  32,856.59 ","","  768.26 ","1,078,084.66","Togo","107,085.82","674,423.29","336,718.39","1,327.40","384.91","0.16","10,298.93","161.76","815.08","1,131,215.73"
"Tokelau","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Tokelau","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tonga","419.15","3.48","0.00","  0.77 ","  6.47 ","  0.11 ","  -   ","","  55.72 ","485.70","Tonga","99.81","0.00","71.47","0.61","6.18","0.10","0.00","0.00","58.27","236.43"
"Trinidad and Tobago","2,048.17","1.84","30,440.72","  3.07 ","  5.18 ","  0.04 ","  -   ","","  -   ","32,499.02","Trinidad and Tobago","1,056.20","0.00","11,470.90","2.47","4.60","0.04","0.00","0.00","0.00","12,534.20"
