,0,1,2,3,4,5,6,7,8,9
168,Serbia,6616.469999999999,6483.32,0.0,133.15,0.0,0.0,0.0,0.0,0.0
169,Seychelles,153.74,114.51,0.0,32.08,1.46,2.26,3.43,0.0,0.0
170,Sierra Leone,1058528.43,112053.86,938181.42,5161.47,1417.29,1529.9,140.6,43.89,0.0
171,Singapore,4001.44,3975.59,0.0,25.85,0.0,0.0,0.0,0.0,0.0
172,Sint Maarten (Dutch part),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Slovakia,2651.61,2629.11,0.0,22.5,0.0,0.0,0.0,0.0,0.0
174,Slovenia,862.26,861.92,0.0,0.34,0.0,0.0,0.0,0.0,0.0
175,Solomon Islands,8467.02,7287.66,1122.75,0.0,0.69,51.74,4.18,0.0,0.0
176,Somalia,391909.32000000007,310611.65,77710.13,1176.53,0.0,0.0,0.0,2411.01,0.0
177,South Africa,933332.47,773587.98,4432.99,151097.56,394.05,1105.08,1862.71,852.1,0.0
178,South Sudan,107767.29000000001,172.71,107279.37,315.21,0.0,0.0,0.0,0.0,0.0
179,Spain,23946.23,23418.64,0.0,527.59,0.0,0.0,0.0,0.0,0.0
180,Sri Lanka,68481.01000000001,67954.39,113.41,413.21,0.0,0.0,0.0,0.0,0.0
181,Sudan,2209486.19,304847.11,1892713.82,11212.06,0.0,0.0,0.0,712.82,0.38
182,Suriname,2398.32,506.97,19.09,1872.26,0.0,0.0,0.0,0.0,0.0
183,Swaziland,51501.469999999994,23653.7,17.01,27602.85,28.7,128.03,61.89,9.29,0.0
184,Sweden,602.89,599.49,0.0,3.4,0.0,0.0,0.0,0.0,0.0
185,Switzerland,359.21,334.12,0.0,25.09,0.0,0.0,0.0,0.0,0.0
186,Syrian Arab Republic,29225.1,29225.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Tajikistan,40646.32,39619.67,15.73,1010.92,0.0,0.0,0.0,0.0,0.0
188,Tanzania,5405589.420000001,506334.83,4465519.19,422722.54,0.0,0.0,0.0,10980.87,31.99
189,Thailand,433820.42999999993,328964.29,1168.85,103687.29,0.0,0.0,0.0,0.0,0.0
190,The Former Yugoslav Republic of Macedonia,2753.3199999999997,2753.18,0.0,0.14,0.0,0.0,0.0,0.0,0.0
191,Timor-Leste,112.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.56
192,Togo,298826.92,131555.42,150726.93,13535.53,0.0,0.0,0.0,3009.04,0.0
193,Tokelau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Tonga,220.82,220.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Trinidad and Tobago,2147.5,1036.98,0.0,1110.52,0.0,0.0,0.0,0.0,0.0
196,Tunisia,14499.45,14394.34,0.0,105.11,0.0,0.0,0.0,0.0,0.0
197,Turkey,125775.36,125694.28,0.0,81.08,0.0,0.0,0.0,0.0,0.0
198,Turkmenistan,37873.14,37869.04,0.0,4.1,0.0,0.0,0.0,0.0,0.0
199,Turks and Caicos Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Uganda,4488676.06,784152.98,3399503.48,296597.79,0.0,0.0,0.0,8421.81,0.0
202,Ukraine,304557.36,286671.5,0.0,17885.86,0.0,0.0,0.0,0.0,0.0
203,United Arab Emirates,2800.2000000000003,2688.76,0.0,111.44,0.0,0.0,0.0,0.0,0.0
204,United Kingdom of Great Britain and Northern Ireland,21424.63,21339.68,0.0,84.95,0.0,0.0,0.0,0.0,0.0
205,United States,46059.649999999994,42324.31,0.0,3735.34,0.0,0.0,0.0,0.0,0.0
206,Uruguay,3853.9700000000003,2694.81,0.0,1159.16,0.0,0.0,0.0,0.0,0.0
207,US Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Uzbekistan,139954.86,138613.77,0.0,1341.09,0.0,0.0,0.0,0.0,0.0
209,Vanuatu,2438.4199999999996,2358.99,26.64,0.0,30.49,20.9,1.4,0.0,0.0
210,Venezuela,40039.61,35075.23,26.24,3934.07,387.58,24.86,548.77,42.86,0.0
211,Viet Nam,558170.94,512198.75,826.3,45145.89,0.0,0.0,0.0,0.0,0.0
212,Wallis and Futuna Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,West Bank and Gaza Strip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Yemen,304575.49,237977.75,65279.86,0.0,0.0,0.0,0.0,1317.88,0.0
215,Zambia,856558.3,228149.63,601688.29,26720.38,0.0,0.0,0.0,0.0,0.0
216,Zimbabwe,431786.74,277834.66,6540.44,147411.64,0.0,0.0,0.0,0.0,0.0
