,0,1,2,3,4,5,6,7,8,9,10,11
159, Rwanda,258792.22,213943.19,44689.49,0.0,0.0,0.0,0.0,159.54,0.0,0.0,0.0
160, Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161, Saint Lucia,139.72,139.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162, Saint Vincent and the Grenadines,94.41,94.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163, Samoa,305.23,305.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164, San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165, Sao Tome and Principe,1005.74,1005.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166, Saudi Arabia,26773.33,26773.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167, Senegal,243354.31000000003,213721.12,28539.14,0.0,0.0,0.0,0.0,1007.38,0.0,77.01,9.66
168, Serbia,3963.66,3963.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169, Seychelles,72.9,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170, Sierra Leone,360675.29,166478.11,194089.17,0.0,0.0,0.0,0.0,35.16,0.0,72.85,0.0
171, Singapore,809.34,809.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172, Sint Maarten (Dutch part),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173, Slovakia,360.92,360.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174, Slovenia,316.73,316.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175, Solomon Islands,2632.52,2617.63,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.15
176, Somalia,594609.6599999999,593971.2,0.0,0.0,0.0,0.0,0.0,638.46,0.0,0.0,0.0
177, South Africa,877308.73,877308.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178, South Sudan,369136.64,270056.54,99079.72,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.24
179, Spain,7957.43,7957.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180, Sri Lanka,31948.52,31948.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181, Sudan,63002.65,62971.95,0.0,0.0,0.0,0.0,0.0,19.76,0.9,0.54,9.5
182, Suriname,393.78,391.96,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183, Swaziland,25731.93,25731.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184, Sweden,1218.07,1218.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185, Switzerland,660.06,660.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186, Syrian Arab Republic,2936.88,2936.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187, Tajikistan,36699.33,36699.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188, Tanzania,269028.36,9498.65,252427.74,0.0,0.0,0.0,0.0,6993.25,0.0,108.72,0.0
189, Thailand,965820.63,965817.13,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190, The Former Yugoslav Republic of Macedonia,154537.07,154537.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191, Timor-Leste,1455.7799999999997,1062.62,0.28,0.0,0.0,0.0,0.0,0.0,0.0,392.88,0.0
192, Togo,207467.81999999998,3.83,207078.12,0.0,0.0,0.0,0.0,385.87,0.0,0.0,0.0
193, Tokelau,105019.57,105019.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194, Tonga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195, Trinidad and Tobago,131.96,131.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196, Tunisia,726.76,726.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197, Turkey,3699.33,3699.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198, Turkmenistan,28409.99,28409.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199, Turks and Caicos Islands,28556.02,28556.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200, Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201, Uganda,391654.22,0.0,381067.66,0.0,0.0,0.0,0.0,10563.3,0.0,19.52,3.74
202, Ukraine,510743.45,510743.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203, United Arab Emirates,154727.77,154727.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204, United Kingdom of Great Britain and Northern Ireland,4091.57,4091.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205, United States,25985.66,25985.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206, Uruguay,1740.51,1740.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207, US Virgin Islands,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208, Uzbekistan,115733.64,115733.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209, Vanuatu,1132.4299999999998,1127.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33
210, Venezuela,27095.68,27065.33,30.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211, Viet Nam,474001.02,473927.4,73.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212, Wallis and Futuna Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213, West Bank and Gaza Strip,1582.58,1582.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214, Yemen,47183.85,46088.76,0.0,0.0,0.0,0.0,0.0,833.56,0.0,0.0,261.53
215, Zambia,79130.41000000002,550.72,78099.21,0.0,0.0,0.0,0.0,466.52,0.0,11.49,2.47
216, Zimbabwe,13421.93,0.0,12315.36,0.0,0.0,0.0,0.0,182.33,0.0,0.0,924.24
